PARTICIPANT_ID,RUN_ID,CHUNK,CONDITION,RandomID,PRODUCT_SHOWN,AGE,GENDER,AI_MENTION_CHECK,PR_INCORP_SELF,PR_BELONGS_TO_ME,PR_CONNECTED,PR_CLOSENESS,PR_DIFFICULT_MINE,PRODUCT_HEDONICITY_1_UTIL_7_HED,AI_IMPROVE_LIFE,AI_IMPROVE_WORK,AI_USE_FUTURE,AI_POSITIVE_HUMANITY,AI_THREAT_HUMANS,SPOT_AI_CHOICE,SPOT_AI_CORRECT,AUCTION_WINNER,AUCTION_CORRECT,WTP_COINS_0_10,TASK_SUMMARY,MTURK_ID,MTURK_ID_ENTERED,COMPLETION_CODE
1,RUN_2026-01-06_1,1,No AI x Utilitarian (new),88822,Body wash,44,Female,Yes,2,2,1,1,4,4,2,1,2,1,1,Picture 2,1,Participant 2,1,8,"I looked at an online shopping page, rated a few statements, completed a brief AI image check, and reported my willingness to pay.",AS1AMJBINR,Yes,237566
2,RUN_2026-01-06_1,1,AI x Hedonic (new),19640,Chocolate bar,18,Male,Yes,2,2,2,1,4,6,2,2,1,1,1,Picture 1,0,Participant 2,1,4,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",ARP7N2XKXG,Yes,237566
3,RUN_2026-01-06_1,1,No AI x Hedonic (new),67684,Chocolate bar,55,Female,Yes,2,2,2,1,3,5,2,2,1,1,1,Picture 2,1,Participant 2,1,6,"I looked at an online shopping page, rated a few statements, completed a brief AI image check, and reported my willingness to pay.",AQLT09T90E,Yes,237566
4,RUN_2026-01-06_1,1,AI x Utilitarian (new),76951,Body wash,44,Non-binary,Yes,2,2,1,1,4,3,1,2,2,1,1,Picture 2,1,Participant 2,1,7,"I looked at an online shopping page, rated a few statements, completed a brief AI image check, and reported my willingness to pay.",AQ0NL96GTQ,Yes,237566
5,RUN_2026-01-06_1,1,No AI x Hedonic (new),13857,Chocolate bar,56,Male,Yes,2,2,2,1,4,5,2,2,1,1,1,Picture 1,0,Participant 2,1,9,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",A9S7Q6BIOW,Yes,237566
6,RUN_2026-01-06_1,1,AI x Hedonic (new),95266,Chocolate bar,42,Female,Yes,2,2,1,1,4,6,2,1,1,1,1,Picture 2,1,Participant 2,1,9,"I examined how a product was presented, answered attitude questions, and finished a short challenge and purchase decision.",AA4W2EVY7O,Yes,237566
7,RUN_2026-01-06_1,1,No AI x Hedonic (new),42410,Chocolate bar,29,Male,Yes,2,2,1,1,4,4,2,2,2,1,1,Picture 1,0,Participant 2,1,7,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",AA83PCT99N,Yes,237566
8,RUN_2026-01-06_1,1,AI x Utilitarian (new),95745,Body wash,23,Male,Yes,2,2,1,1,4,4,2,1,2,1,1,Picture 1,0,Participant 3,0,6,"I viewed a product recommendation, responded to survey items about it and AI, and then completed a quick bonus-style task.",AIS515NHN8,Yes,237566
9,RUN_2026-01-06_1,1,AI x Hedonic (new),57497,Chocolate bar,45,Male,Yes,2,2,2,1,4,5,2,2,1,1,1,Picture 2,1,Participant 2,1,5,"I evaluated a product page, answered some rating scales, chose which image seemed AI-made, and entered my purchase amount.",A21OURIW1E,Yes,237566
10,RUN_2026-01-06_1,1,No AI x Hedonic (new),63718,Chocolate bar,39,Male,Yes,2,2,1,1,3,4,2,2,1,1,1,Picture 1,0,Participant 2,1,7,"I looked at an online shopping page, rated a few statements, completed a brief AI image check, and reported my willingness to pay.",AO3HZ1AT8J,Yes,237566
